Name,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Recom,Avg Volume,Rel Volume,Change,Volume,Stocks,Market Cap.,Dividend,P/E,Fwd P/E,PEG,Float Short
Basic Materials,0.38%,0.0191,0.008,-0.0218,-0.06309999999999999,0.0719,1.98,680250000.0,1.02,0.0074,695360000.0,271,1984120000000.0,0.023399999999999997,21.42,14.34,1.95,0.026600000000000002
Communication Services,-0.53%,0.0797,-0.022400000000000003,0.0481,0.16260000000000002,0.0271,1.6,646420000.0,0.71,-0.0068000000000000005,455910000.0,267,8692070000000.0,0.0072,31.92,25.4,2.09,0.0259
Consumer Cyclical,-2.86%,0.0872,-0.0317,-0.0121,0.1264,-0.045899999999999996,1.8,1480000000.0,0.83,-0.0088,1240000000.0,569,8213930000000.0,0.0088,25.16,20.1,1.65,0.0495
Consumer Defensive,-0.44%,0.0125,0.0149,0.0529,0.10210000000000001,0.06709999999999999,2.0,493110000.0,0.72,0.0037,353700000.0,247,4277580000000.0,0.024,27.35,20.63,3.74,0.0202
Energy,-2.71%,0.0037,-0.0691,-0.09630000000000001,-0.1038,-0.0298,1.97,729960000.0,1.07,0.0060999999999999995,783780000.0,257,3666390000000.0,0.0407,16.07,12.97,1.61,0.0302
Financial,-2.28%,0.04769999999999999,0.0105,0.030699999999999998,0.1959,0.0588,2.0,1390000000.0,0.85,-0.0024,1180000000.0,913,12858820000000.0,0.0196,18.38,14.83,1.83,0.015700000000000002
Healthcare,-1.37%,-0.0366,-0.10529999999999999,-0.0731,-0.1125,-0.048499999999999995,1.86,1220000000.0,1.06,-0.0016,1300000000.0,1150,7131740000000.0,0.018500000000000003,26.49,15.47,1.7,0.0466
Industrials,-2.16%,0.08529999999999999,0.0418,-0.0088,0.0795,0.042,2.03,808670000.0,0.89,-0.0029,716920000.0,673,5952640000000.0,0.013000000000000001,25.82,20.66,2.36,0.0416
Real Estate,-3.64%,-0.005,-0.055999999999999994,-0.0832,0.028300000000000002,-0.0258,1.9,361030000.0,0.85,0.0007000000000000001,306980000.0,263,1652560000000.0,0.0385,40.01,29.83,2.49,0.0435
Technology,-3.16%,0.1066,-0.025099999999999997,-0.0167,0.1288,-0.0308,1.69,2520000000.0,1.02,-0.0131,2570000000.0,776,21004080000000.0,0.0068000000000000005,37.47,24.31,2.05,0.029300000000000003
Utilities,-0.82%,0.0301,0.0292,0.0212,0.115,0.08130000000000001,2.15,230830000.0,1.26,0.0128,291500000.0,104,1557350000000.0,0.0319,19.25,15.05,2.21,0.0207
